"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
2,2,0,0,2,2,20200123,0,0
3,1,0,0,3,1,20200124,0,0
4,1,0,0,4,1,20200125,0,0
7,3,0,0,7,3,20200126,0,0
11,4,0,0,11,4,20200127,0,0
12,1,0,0,12,1,20200128,0,0
17,5,0,0,17,5,20200129,0,0
21,4,0,0,21,4,20200130,0,0
26,5,0,0,26,5,20200131,0,0
28,2,0,0,28,2,20200201,0,0
31,3,0,0,31,3,20200202,0,0
34,3,1,1,33,2,20200203,0,0
34,0,1,0,33,0,20200204,0,0
40,6,1,0,39,6,20200205,0,0
43,3,1,0,42,3,20200206,0,0
45,2,3,2,42,0,20200207,0,0
45,0,13,10,32,-10,20200208,0,0
49,4,13,0,36,4,20200209,0,0
53,4,14,1,39,3,20200210,0,0
58,5,22,8,36,-3,20200211,0,0
64,6,24,2,40,4,20200212,0,0
67,3,24,0,43,3,20200213,0,0
70,3,27,3,43,0,20200214,0,0
70,0,33,6,37,-6,20200215,0,0
70,0,33,0,37,0,20200216,0,0
70,0,35,2,35,-2,20200217,0,0
71,1,42,7,29,-6,20200218,0,0
71,0,42,0,29,0,20200219,0,0
71,0,44,2,27,-2,20200220,0,0
71,0,48,4,23,-4,20200221,0,0
71,0,48,0,23,0,20200222,0,0
71,0,57,9,14,-9,20200223,0,0
71,0,58,1,13,-1,20200224,0,0
71,0,61,3,10,-3,20200225,0,0
72,1,65,4,7,-3,20200226,0,0
72,0,68,3,4,-3,20200227,0,0
73,1,68,0,5,1,20200228,0,0
73,0,69,1,4,-1,20200229,0,0
74,1,69,0,5,1,20200301,0,0
74,0,69,0,5,0,20200302,0,0
75,1,69,0,6,1,20200303,0,0
75,0,69,0,6,0,20200304,0,0
75,0,69,0,6,0,20200305,0,0
75,0,71,2,4,-2,20200306,0,0
75,0,71,0,4,0,20200307,0,0
75,0,71,0,4,0,20200308,0,0
75,0,71,0,4,0,20200309,0,0
75,0,71,0,4,0,20200310,0,0
75,0,72,1,3,-1,20200311,0,0
75,0,72,0,3,0,20200312,0,0
75,0,72,0,3,0,20200313,0,0
75,0,73,1,2,-1,20200314,0,0
75,0,73,0,2,0,20200315,0,0
75,0,75,2,0,-2,20200316,0,0
75,0,75,0,0,0,20200317,0,0
75,0,75,0,0,0,20200318,0,0
75,0,75,0,0,0,20200319,0,0
75,0,75,0,0,0,20200320,0,0
75,0,75,0,0,0,20200321,0,0
75,0,75,0,0,0,20200322,0,0
75,0,75,0,0,0,20200323,0,0
75,0,75,0,0,0,20200324,0,0
75,0,75,0,0,0,20200325,0,0
75,0,75,0,0,0,20200326,0,0
75,0,75,0,0,0,20200327,0,0
75,0,75,0,0,0,20200328,0,0
75,0,75,0,0,0,20200329,0,0
75,0,75,0,0,0,20200330,0,0
75,0,75,0,0,0,20200331,0,0
75,0,75,0,0,0,20200401,0,0
75,0,75,0,0,0,20200404,0,0
75,0,75,0,0,0,20200405,0,0
75,0,75,0,0,0,20200406,0,0