"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
1,1,0,0,1,1,20200122,0,0
9,8,0,0,9,8,20200123,0,0
18,9,1,1,17,8,20200124,0,0
31,13,1,0,30,13,20200125,0,0
47,16,1,0,46,16,20200126,0,0
70,23,1,0,69,23,20200127,0,0
99,29,1,0,98,29,20200128,0,0
129,30,1,0,128,30,20200129,0,0
168,39,2,1,166,38,20200130,0,0
202,34,5,3,197,31,20200131,0,0
236,34,6,1,230,33,20200201,0,0
271,35,7,1,264,34,20200202,0,0
308,37,8,1,300,36,20200203,0,0
341,33,13,5,328,28,20200204,0,0
373,32,26,13,347,19,20200205,0,0
408,35,38,12,370,23,20200206,0,0
439,31,43,5,396,26,20200207,0,0
468,29,51,8,417,21,20200208,0,0
492,24,72,21,420,3,20200209,0,0
515,23,84,12,431,11,20200210,0,0
543,28,94,10,449,18,20200211,0,0
570,27,131,37,439,-10,20200212,0,0
593,23,137,6,456,17,20200213,0,0
604,11,160,23,444,-12,20200214,0,0
617,13,190,30,427,-17,20200215,0,0
626,9,226,36,400,-27,20200216,0,0
629,3,263,37,366,-34,20200217,0,0
631,2,296,33,335,-31,20200218,0,0
631,0,325,29,306,-29,20200219,0,0
631,0,352,27,279,-27,20200220,0,0
631,0,387,35,244,-35,20200221,0,0
631,0,411,24,220,-24,20200222,0,0
631,0,427,16,204,-16,20200223,0,0
631,0,458,31,173,-31,20200224,0,0
631,0,463,5,168,-5,20200225,0,0
631,0,494,31,137,-31,20200226,0,0
631,0,506,12,125,-12,20200227,0,0
631,0,519,13,112,-13,20200228,0,0
631,0,529,10,102,-10,20200229,0,0
631,0,536,7,95,-7,20200301,0,0
631,0,555,19,76,-19,20200302,0,0
631,0,565,10,66,-10,20200303,0,0
631,0,580,15,51,-15,20200304,0,0
631,0,588,8,43,-8,20200305,0,0
631,0,601,13,30,-13,20200306,0,0
631,0,610,9,21,-9,20200307,0,0
631,0,618,8,13,-8,20200308,0,0
631,0,622,4,9,-4,20200309,0,0
631,0,627,5,4,-5,20200310,0,0
631,0,628,1,3,-1,20200311,0,0
631,0,630,2,1,-2,20200312,0,0
631,0,630,0,1,0,20200313,0,0
631,0,631,1,0,-1,20200314,0,0
631,0,631,0,0,0,20200315,0,0
631,0,631,0,0,0,20200316,0,0
631,0,631,0,0,0,20200317,0,0
631,0,631,0,0,0,20200318,0,0
631,0,631,0,0,0,20200319,0,0
631,0,631,0,0,0,20200320,0,0
633,2,631,0,2,2,20200321,0,0
633,0,631,0,2,0,20200322,0,0
636,3,631,0,5,3,20200323,0,0
638,2,631,0,7,2,20200324,0,0
640,2,631,0,9,2,20200325,0,0
641,1,631,0,10,1,20200326,0,0
641,0,631,0,10,0,20200327,0,0
644,3,631,0,13,3,20200328,0,0
645,1,631,0,14,1,20200329,0,0
646,1,631,0,15,1,20200330,0,0
646,0,631,0,15,0,20200331,0,0
647,1,631,0,16,1,20200401,0,0
651,4,633,2,18,2,20200404,0,0
651,0,633,0,18,0,20200405,0,0
651,0,633,0,18,0,20200406,0,0