"cityName","currentConfirmedCount","confirmedCount","suspectedCount","curedCount","deadCount","locationId"
"漯河",1,36,0,35,0,411100
"境外输入",1,3,0,2,0,0
"信阳",0,274,0,272,2,411500
"郑州",0,157,0,152,5,410100
"南阳",0,156,0,153,3,411300
"驻马店",0,139,0,139,0,411700
"商丘",0,91,0,88,3,411400
"周口",0,76,0,75,1,411600
"平顶山",0,58,0,57,1,410400
"新乡",0,57,0,54,3,410700
"安阳",0,53,0,53,0,410500
"许昌",0,39,0,38,1,411000
"焦作",0,32,0,31,1,410800
"洛阳",0,31,0,30,1,410300
"开封",0,26,0,26,0,410200
"鹤壁",0,19,0,19,0,410600
"濮阳",0,17,0,17,0,410900
"三门峡",0,7,0,6,1,411200
"济源",0,5,0,5,0,419001